Q,K1,K2,K3,K4,A
テレビ番組で、出演者をだましたり驚かせたりしてそのリアクションを楽しむものを何という ?,マッタリ,ドッキリ,ガックリ,ハッタリ,ドッキリ
0よりも小さい数を何という ?,負の数,陰の数,記の数,胃の数,負の数
江口洋介や編山雅治らが出演した、往年のホームドラマは何 ?,みっつづつ屋根の下,よっつ〇屋根の下,ふた つ屋根の下,ひとつづ屋根の下,ひとつづ屋根の下
「アポロ』『ハネウマライダー』といったヒット曲があるバンドは何 ?,サンボマスター,BUMP OF CHIKEN,ゴールデンボンバー,ポルノグラフィティ,ポルノグラフィティ
ウコギ科の木から擦取される、春の旬ものとしてよく天ぷらなどで食される木の芽は何 ?,タラの芽,タイの芽,イワシの芽,サバの芽,タラの芽
次のうち、普通「天気が良い」という表現が指す天気はどれ?,大雪,吾風,土砂降りの雨,晴天,晴天
「コンサバファッション」の「コンサバ」とは何の略2?,コンサバティブ,コーンとサバ,コンドルサバイブ,コンゴウサバイバル,コンサバティブ
植物の葉が緑色に見える主要な原因である、細胞内小器官は何 ?,葉緑体,核,ミトコンドリア,液肥,葉緑体
サッカーなどの競技で、審講が合図のために吹くものは何?,フルート,リコーダー,ハーモニカ,ホイッスル,ホイッスル
映画などで、危険なシーンを俳優に代わって行う人は「〇〇〇マン」。〇つ〇〇は ?,スカウト,スタント,スタート,ストップ,スタント
フィンランドの公用語は、スウェーテン語と何?,韓国語,中国語,フィンランド語,日本語,フィンランド語
サッカーで目殺点を表す0Gを略さず言うと何 ?,オウンゴール,オフゴール,オーマイゴール,オーバーゴール,オウンゴール
次のうち、海外旅行に行った人が起きやすいのはどれ2,時差ボケ,天然ボケ,オトボケ,正月ボケ,時差ボケ
虹川美穂子と伊藤さおりの2人からなる女性お笑いコンビは何 ?,ニッチェ,北陽,ハリセンボン,アジアン,北陽
顕微鏡の接眼レンズに5倍、対物レンズに20倍のレンズを用いたとき、見られる像の倍率は何倍 ?,15倍,25倍,100倍,4倍,100倍
古谷実のギャグ漫画『行け 1 〇〇卓球部』。〇つ〇に入る言葉は何 ?,麦中,米中,喜中,稲中,稲中
Jリーグが初めて控用した、サッカーの延長戦で、先に得点したチームが勝利となるルールは何 ?,延長Hゴール,延長Gゴール,延長Bゴール,延長Vゴール,延長Vゴール
豆腐を固めるのに使われる、塩化マグネシウムを主成分とする液体は回角,あがり,まがり,さがり,にがり,にがり
冒頭の「天は人の上に人を造らず人の下に人を造らず」が有名な、怒沢たとる円2,学校のすゝめ,学名のすゝめ,学問のすゝめ,学際のすゝめ,学問のすゝめ
次のうち、海に生息する魚の種類にあるのはとどとれ2?,エイ,シイ,テイ,ビイ,エイ
「アイナナ」という略称で呼ばれるけプリゲームは何2,アイドリッシュセブン,モンスターストライク,テクテクライフ,D4DJ,アイドリッシュセブン
次のうち、豆の種類にあるのはどれ 2?,てんげん豆,いんげん豆,さんげん豆,かんげん豆,いんげん豆
NHKで放送されているタモリ出演のも組『〇OO〇タモリ』j』。〇〇は何 ?,パラ,ブラ,オラ,キラ,ブラ
次のうち、料理を題材にした漫画はとれ 2?,雨でも晴れでも,さらば、住き日,よつばと !,新米姉妹のふたりごはん,新米姉妹のふたりごはん
テニスなどのラケットに張られる合成繊維などでできた和糸を何という ?,マット,ネット,ガット,バット,ガット
トーク番組『ライオンのごきげんよう』で、あたり目を出した時などに登場するロボットは何 ?,CARAZA,CEREZE,COROZO,CIRIZI,COROZO
「Live While We're young』などのヒット曲がある、イギリスとアイルアレア /)】 メアプムア たる] 半/,TWO DIRECTION,THREE DIRECTION,ONE DIRECTION,FOUR DIRECTION,ONE DIRECTION
お笑い芸人の渡辺直美につけられた異名といえば「和製O〇OO」。 〇〇(に入る人物は誰 ?,レディ・ガガ,マライア・キャリー,ビヨンセ,ジェニファアー・ロロペス,ビヨンセ
2種類以上の気体や液体がとけて、均一になった液体を何という ?2,融液,解液,溶液,説液,溶液
次の文学作品のうち、「随筆」 に分類されるのはどれ2?2    」,つれづれぐさ,ぐだぐだぐさ,だらだらぐさ,へろへろぐさ,つれづれぐさ
エジプトの公用語は何 ?,中国語,アラビア語,日本語,韓国語,アラビア語
元ヤクザの桐生一馬を主人公とする、セガの人気ゲームシリーズは回角,卿子が如く,龍が如く,態が如く,虎が如く,龍が如く
3つの辺の長さがすべて等しい三角形のことを何という ?,正三角形,直角三角形,不等辺三角形,ー等辺三角形,正三角形
「大老」や「老中」という役職が設置されたのは何幕府 ?,室町幕府,江戸幕府,明治幕府,鍵昼幕府,江戸幕府
ゲーム『スーパーマリオランド26つの金貨』で、バニーマリオに変身する際にとる野楽は何 ?,トマト,ニンジン,キャベツ,ジャガイモ,ニンジン
ボウリングで「ダブル」 といえば、何回続けてストライクを取ること ?,4回,6回,8回,2回,2回
歴代のオリンピック開催都市で、モントリオール、バンクーバーといったらどこの国 ?,カナダ,イタリア,アメリカ,オーストラリア,カナダ
経済用語で、期日を過ぎても、手形や小切手の支払いがなされないことを何という ?,無渡り,未渡り,不渡り,非渡り,不渡り
同名の主題歌もヒットした、1957年に公開された石原裕次郎主演の映画は何 ?,人を呼ぶ男,雨を呼ぶ男,風を呼ぶ男,嵐を呼ぶ男,嵐を呼ぶ男
次のうち、野球を題材にした漫画はどれ2?,獲工船,猫のお寺の知思さん,WILD PITCH軸,HIKARHMAN,WILD PITCH軸
次のうち、沖縄で古くから飲まれているお湘はどれ 2?,おおもり,あわもり,たかもり,ささきもり,あわもり
テレビの制作現場などで活躍する「AD」は、「何・ディレクター」の略 ?,アシスタント,アトラクト,アドバイザリー,アニメーション,アシスタント
次のうち、女忍者を主人公とする漫画はどれ?  「,るべどの奇石,くノー腐宝伝,候み屋本舗,ソムリエール,くノー腐宝伝
コウテイ、マゼラン、イワトビなどの種類がある、主に南極に生息する生き物は何?,ペンギン,オットセイ,アザラン,シャチ,ペンギン
シミュレーションゲーム『大航海時代』。 舞台となっているのは何世紀の世界 ?,11世紀,21世紀,16世紀,3世紀,16世紀
案田亜衣、北島康介といえば ?,マフソン,ハンマー投げ,バスケットボール,跳泳,跳泳
切ったサツマイモを揚げて、砂糖や蜜を絡めて作るお菓子を何芋という?,高校芋,中学芋,小学芋,大学芋,大学芋
女子ゴルファー、工藤遥加の父親がカつてプロ選手として活躍していたスオた2,ボクシング,野球,サッカー,テニス,野球
中経を興奮させる働きや中毒性がある、タバコに含まれるアルカロイドは何 ?,ニコチン,アコチン,タコチン,ナコチン,ニコチン
世界最大のペンギンは〇〇〇ペンギン。〇つつ〇つつ〇に入る言葉は何 ?,コウテイ,ダイオウ,テイオウワウ,ミカド,コウテイ
映画やドラマのキャストを選ぶための審査のことを何という ?,オーケストラ,オーストラリア,オータム,オーディション,オーディション
次のうち、下を主人公とするアニメはどれ2?,ケシカスくん,おおかみかくし,デュラララ!!,ちーすい丸,ちーすい丸
"ドラマ 『Age,35 恋しくて』や「成田離婚』」などでヒロインを演じた女優は誰 ?",瀬尾浅香,瀬戸朝香,瀬野浅香,瀬田浅香,瀬戸朝香
ダブルトラック、ショートトラックゐヵど、決められた距離でのタイムを競っスケート競技を何という2?,スピードスケート,アイスホッケー,カーリング,フィギュアスケート,スピードスケート
ブラジリアに首都を置く国はどこ ?,ブラジル,チリ,アルゼンチン,ペルー,ブラジル
お笑いコンビ、ダウンタウンのメンバーは、浜ちゃんと誰 ?,梅ちゃん,松ちゃん,杉ちゃん,竹ちゃん,松ちゃん
次の薬品のうち、インフルエンザの治療に用いられるのはどれ3?,ロキソニン,イソジン,タミフル,バファリン,タミフル
次のうち、キムチの一種「カクテキ」に使われる野楽はどれ ?,ダイコン,キャベツ,ニンジン,ハクサイ,ダイコン
1853年に黒船に乗って浦貨に来航したアメリカの軍人は誰 ?,ベペリー,リリー,サリー,ツリー,ベペリー
柔軟剤といえば、どんな家事で使うもの ?,掃除,料理,洗浴,裁締,洗浴
魚の切り身を、京都の甘い白味噌に漬け込んで焼いた魚料理は何 ?,北京焼き,西京焼き,南京焼き,東京焼き,西京焼き
次のうち、路面電車の別名を表す言葉はどれ?2,チンチン電車,トントン電車,カンカン電車,シャンシャン電車,チンチン電車
野球で、満塁の走者全員を帰すヒットを、俗に「何のタイムリーヒット」という ?,走者一応,走者一巡,走者一掃,走者一人,走者一掃
次のNHKの人形劇のうち、放送されたのが最も早かったのはどれ2?,ひょっこりひょうたん島,三国志,ひげよさらば,プリンプリン物語,ひょっこりひょうたん島
温泉を表す地図記号で、出ている湯気は何本の線で表現されている2?,3本,2本,1本,4本,3本
北極蜂の近くにある、アルファベットの「W」の形をした星座は何 ?,カメレオン座,オリオン座,カシオペア座,ケフェウス座,カシオペア座
次のうち、体の回転を感じ取る問官はどれ?,前寿,内牛殻,耳管,三生規管,三生規管
