「カジノ」で、ロバート・デ・ニーロが演じたサム・ロススティーンのニックネームは?,クイーン,キング,エース,ジョーカー,エース
テレビ朝日の情報番組『モーニングバード ! 』でMCを務めていたのは、選鳥慎一と誰 ?,夏目三久,赤江珠緒,北乃きい,加藤綾子,赤江珠緒
「六大栄養素」には含まれるが、「五大栄養素」には含まれない栄養系は何 ?,脂肪,食物繊維,ミネラル,炭水化物,食物繊維
『きかんしゃトーマス』に登場する根関車・パーシーの車体の色は何色 ?,緑色,黄色,赤色,青色,緑色
初夢の縁起物「一富士二鷹三冶子」の四以下の続きとして挙げられない3)】とや p ます,座頭,煙草,羽,泉,泉
朝日放送制作の「探偵!ナイトスクープ」でかつて探偵をつとめたことリアンルクた:,古田新太,生瀬勝久,今田耕司,毒暖三太夫,生瀬勝久
ライフセービングが発展した国で、2世紀初めには世界初のライフセービングの組織も誕生したのはどこ?,アメリカ,ニュージーランド,イギリス,オーストラリア,オーストラリア
ドナウ川やドニエプル有川が流れ込む、アジアとヨーロッパの間にある海はどこ ?,バルト海,アラル海,北海,妹海,妹海
次のうち、日本国外で起こった出来事はどれ?  「,甲午農民戦争,相南戦争,成辰戦争,陸敵戦争,甲午農民戦争
陰イオンは原子がどうなってできたもの?,電子を失った,電子を得た,陽子を失った,陽子を得た,電子を得た
肉牛、小麦、ワインなどが主要な生産物で、ラプラタタ有川流域のパンパで知られる南米の国とは?,アルゼンチン,コロンビア,ブラジル,チリ,アルゼンチン
「列車戦隊トッキュウジャー』で、トッキュウ6号が変身したときの体の色は何色 ?,オレンジ,ブラック,ゴールド,シルバー,オレンジ
音楽ユニッ ト・KANA-BOONのボーカルの名前は谷口〇。〇は何 ?,鮮 (ひらめ),狗(いわし),錠 (まぐろ),鯉 (かつお),錠 (まぐろ)
6Eちさわァルン のと人才ョレル記り生中国はどこ ?,カナダ,アメリカ,イギリス,オーストラリア,アメリカ
次の党のサイズのうち、もっとも大きいものはどとどれ?,江戸間,京間,バー間,中京間,京間
ビーチバレーで、ポボーキーとはどのよょうなショットのこと 2,指をすべて曲げて打つ,指の背中を使う,手首を使う,強くたたき込む,指の背中を使う
スタジオ入りの時刻がグループ名の由来である、Takaら4人からなるバンドは何 ?,2PM,ONE OK ROCK,ジャクソン5,AKB48,ONE OK ROCK
漫画『ピューと吹く!ジャガー』 の登場人物・ピヨ彦は、何になることに憧れている ?,パイロット,サッカー選手,服飾デザイナー,ギタリスト,ギタリスト
以下の三色旗のうち、配色が他と異なるのは2?,イタリア国旗,オランダ国旗,ロシア国旗,チェコ国旗,イタリア国旗
次のうち、本名で芸能活動をしていとはも:              「,沢村一樹,反町隆史,唐沢寿明,竹野内豊,竹野内豊
「石賞」とは何の鉱物 ?,硫酸カルシウム,水酸化カルシウム,酸化カルシウム,炭酸カルシウム,硫酸カルシウム
「キテレツ大百科」に登場するキャラクターの中で兄がいるという設定なのは次のうち誰?,ブタゴリラ,みよちゃん,トンガリ,意三さん,みよちゃん
『週刊少年サンデー』に連載されていた漫画『AKB48殺人事件」の原作を担当した漫画家は誰 ?,青山剛昌,小畑健,松井優征,ご と う ふみや,青山剛昌
"アニメ 『最強ロボ ダイオージャ」で、舞台設定
班設定の下敷き となったにに:た円計?",水戸黄門,暴れん坊将軍,桃太郎侍,必殺仕事人,水戸黄門
ミドル級よりひとつ軽い、ボクシングのWBA・WBCの階級は何 ?,スーパーフライ級,バンタム級,フェザー級,スーパーウェルター級,スーパーウェルター級
明治44年、新潟県高田歩兵58連際の訓練に、日本で最初にスキーを紹介した人物といえば誰?,フォン・レルヒ,ジャック・マイヨール,エンゾ・モリナリ,ウンベルト・ペリザリ,フォン・レルヒ
ボクシングで、グローブの親指部分で相手の目を突く反則を何という 2?,オープンブロー,バッティング,サミング,ラビットパンチ,サミング
森見登美彦の小説を原作にしたアニメ『有頂天家族』の舞台となっていとの 】たちずす/衝5,高知,唱賠,京都,広島,京都
飛騨山脈にある標高2924mの山で、ある歌手と同じ名前になっているのは何 ?,西郷輝彦岳,西城秀樹岳,野口五郎岳,舟木和夫岳,野口五郎岳
ワシとタカの生物分類学上の違いは円時,違いはない,飛行方法,骨格のつくり,紫殖方法,違いはない
ドイツのサッカチーム、バイエルン・ミュンヘンのホームスタジアムは何 ?,カモスキーツ・アレーナ,ハチビーズ・アレーナ,ハエフライズ・アレーナ,アリアンツ・アレーナ,アリアンツ・アレーナ
宮崎あおいが初めて主演を演じた映画はどれ?,ゴジラVSメカゴジラ,害虫,NANA,蹴りたい背中,害虫
次のうち、園田小波の漫画 『チョコミミ』に登場するバンビの本名はどれ?,桃山ムム,桜井ちよこ,森小鹿,猫田ミミ,森小鹿
紅茶の銘柄でダージリンといえばど者【のよう1の,インドネシア,中国,スリランカ,インド,インド
岡山県でないのは、どれ?,津山城,瀬戸大橋,尾道,"チボ!
ボリ公園",尾道
ファッション業界の賞で「FiFi賞といえば別名「何のアカデミ一営」と呼ばれる ?,香水,バッグ,美容師,ネイル,香水
洋学から芸能にいたるまで様々なことについて触れて いる、本居定長の随筆は何 ?,常山紀談,可笑記,甲子夜話,玉勝間,玉勝間
落語家や芸人が高座や舞台に上がる際に流れる音楽のことを何という ?,まつりばやし,かんばやし,でばやし,こばやし,でばやし
江戸幕府8代将軍吉宗、14代将軍家茂が将軍になる前にともに藩主を務めていた藩はどこ?,水戸藩,紀州藩,,編井落,紀州藩
関西国際空港の建設などにより香川県を抜くまで、日本で最も狭い都道府県だったのはどこ2?,奈良県,大阪府,京都府,兵庫県,大阪府
アニメ『おしりかじり虫』の主人公は、おしりかじり虫何世 ?,10008世,18世,108世,1008世,10008世
口と耳の形から、ドイツ語で「とがった」という意味の名前がつけられた犬の品種は何 ?,スパニエル,スピッツ,ビーグル,テリア,スピッツ
次の浜崎あめみがリリースしたシングル曲のうち、最も早くリリースされたものはどれ?,L,H,A,M,A
スペイン語で「頂上・完成」という意味がある日産自動車の車は?,シーマ,ティーダ,ムラーノ,ルークス,シーマ
次のうち、科学者のパスツールが実験に使用した、有名なフラスコはどれ?,鳩の省フラスコ,鶴の首フラスコ,白鳥の省フラスコ,雀の省フラスコ,白鳥の省フラスコ
日露戦争が勃発したのは、西暦何年の出来事 ?,1914年,1904年,1924年,1894年,1904年
体操競技の個人種目。 男子は6種目ですが、女子は何種目?,4種目,5種目,3種目,7種目,4種目
青銅は銅と何の合金?,ニッケル,亜鉛,クロム,すず,すず
競泳の個人メドレー。 バタフライは何番目の泳法 ?,2番目,3番目,4番目,1番目,1番目
日本利話で、スサノオがヤマタノオロチの尾を切ったときに出てきたとっをう5ゆり】たすず,八尺環勾玉,十挙剣,天叢寺全,八頻鏡,八尺環勾玉
かつて、歌手・俳優の星野源が結成していたインストウゥルメンタルバンドは何 ?,フナロック,マスロック,サバロック,サケロック,サケロック
発症すると皮膚が黒くなることから、 「黒死病」と呼ばれている病気は何 ?,マラリア,ペスト,ジフテリア,コレフ,ペスト
日食はどの月のとき起こる?,満月,下弦の月,新月,上弦の月,新月
"公害物質の「ボポリ塩化ビフェニル」のことを
、アルファベット3文字で何という3?",PAB,PCB,PBB,PDB,PCB
ジュール・ヴェルヌの小説 『〇GOO日間世界一周』。〇〇〇に入る数字は何 ?,二十,八十,四十,バハ十,八十
マラソンで、4位の人に抜かされたら目分は何位になる 2?,4位,6位,3位,5位,4位
日本のジャンボ宝くじで、毎年6月に抽選が行われるのは次のうちどれ?,ドリームジャンボ宝くじ,サマージャンボ宝くじ,年末ジャンボ宝くじ,オータムジャンボポ宝くじ,ドリームジャンボ宝くじ
Iじ』じにあるアた25リコンメクルクルシンリーズで起きた八百長事件のことを何という ?,ブルーソックス事件,ホワイトソックス事件,ブラックソックス事件,レッドソックス事件,ブラックソックス事件
次のうち、ものを喘むための口を持つ昆虫はどれ ?,カブトムシ,チョウ,"セミ
es]
こつ",トンボ,トンボ
次の中で葛飾北斎作の浮世絵「富窓三十六景」に入らないものはどれ?,湯奈川沖浪裏,美濃国養老の滝,包風快晴,傘川害の旦,美濃国養老の滝
音楽作品『ピーターと狼』を作曲したロシアの音楽家は誰?,バラキレフ,チャイコフスキー,プロコフィエフ,ムソルグスキー,プロコフィエフ
次のうち、能における主役のことを指す言葉はどれ ?,ウテ,キテ,"ニー
ニナ",シテ,シテ
次のカルボン酸のうち、構造中にベンセゼン琉を有するものはどれ?,酢酸,安息香酸,シュウ酸,ギ酸,安息香酸
岡崎京子の漫画 『ヘルタースケルター』の主人公、りりこの職業は何 ?,教師,ルポライター,医者,モテル,モテル
ほしよりこの漫画『きょうの猫村さん』の猫村さん。お仕事は何2,作家,市役所職員,婦人警官,家政婦,家政婦
