Q,Category,K1,K2,K3,K4,A
漫画『名探偵コナン』で、コナンこと工藤新一がやっていたスポーツは回角,アニメゲーム,ラグビー,テニス,バスケットボール,サッカー,サッカー
ドラえもんを未来から連れて来た、のび太の子孫は?,アニメゲーム,セワン,ムカシ,ムナン,ムサン,セワン
_ 映画『〇OOはバリにいる』『O〇つ〇のカルテ』『〇〇のパズル』の〇〇に共通して入る言葉は何 ?,芸能,外様,理様,姫欄,殿様,理様
で、二半の両親が呪いによって変えられてしまう動物は何 ?,アニメゲーム,豚,星,牛,猫,豚
次のうち、1985年にソフトプロがファミコン版に移植したアクションゲームはどれ?,アニメゲーム,ケンドウカ,カラテカ,ブドウカ,ジュウドウカ,カラテカ
ビールの売り子をしていたという元グラビアアイドルは誰 ?,芸能,おのか,おののののか,おののか,おのののか,おのののか
寝るスペースだけの小室を並べた簡易ホテル「〇〇〇ホテル」。〇〇〇に入る言葉は何 ?,雑学,カスタム,カクテル,カルテル,カプセル,カプセル
人間の赤ちゃんはどうやって生まれと,理系,母親の身体から生まれる,コウノトリが連れてくる,キャベツ畑で拾ってくる,妖精から授かる,母親の身体から生まれる
しアルリリ【ひ5ミトさ<の【ク) トクアミにさとタん全て等しい四角形はどれ ?,理系,牌行四辺形,長方形,正方形,ひし形,正方形
冬季五輪のスキージャンプで行われる競技を大きく2つに分けると「ノーマルヒル」と何 ?,スポーツ,スーパーヒル,ビッグヒル,ジャイアントヒル,ラージヒル,ラージヒル
歌手の高橋、俳優の城田、女性お笑い芸人のやしろに共通する名前は回角,芸能,愛,唯,舞,優,優
次のうち、「和名古屋めし」ではない食べ物はどれ?    -,雑学,さしめん,タコ焼き,ひつまぶし,小倉トースト,タコ焼き
春先に地上に生える、フキの若い花茎のことを何という ?,理系,フキノトウ,ツクシ,レンコン,タケノコ,フキノトウ
陸上競技やスピードスケートの、外側の走路を指す言葉はどれ ?,スポーツ,アウトレット,アウトコース,アウトトソーシング,アウトサイダー,アウトコース
ニシン漁を歌った北海道民謡 CX)〇節』 。〇OOつOO〇は何2,芸能,ソーラン,ドーラン,ハーラン,ローラン,ソーラン
次のうち、水上スポーツで使われる小型の船はどれ ?,雑学,カラー,カヌー,カレー,カルー,カヌー
次のうち、入浴料を払って入る、いわゆる「お風呂屋さん」を意味する王主ヨたぎす<光晴2,雑学,あらそい,いさかい,たたかい,せんとう,せんとう
交響詩『わが宜国』で知られるスメタナは、どこの国の作曲家 ?,芸能,チェエコ,ブラジル,インド,ケニア,チェエコ
ご飯に味噌汗をかけたものを「〇OO〇まんま」という。〇〇〇に入る言葉は何 ?,雑学,さる,うし,いぬ,ねこ,ねこ
カヌー競技で「沈する」といえは、次のうち何を表す?,スポーツ,最下位になる,相手に抜かされる,パドルが折れる,カヌーが転覆,カヌーが転覆
1497年にリスボンを出航、須年カリカットに到達し、インド航路を開拓したのは誰 ?,文系,バスコ・ダ・ガマ,バスコ・ダ・アマ,バスコ・ダ・トノサマ,バスコ・ダ・ウンシ,バスコ・ダ・ガマ
ベルサイコユ宮殿やフォンテーヌブローー宮殿などの宮殿がある国はどこ ?,文系,フフランス,モンゴル,タイ,中国,フフランス
青いリトマス紙が赤く変色したとき、垂らした液体は次のうちどれ ?,理系,透明な液体,酸性の液体,負を含む液体,80C以上の液体,酸性の液体
森下裕美の漫画『少年アシベ』 に登場するゴマちゃんはどんねな動物 ?,アニメゲーム,ゾウ,キリン,コアフ,アザラン,アザラン
きうちかずひろの漫画『ビー・バップ・ハイスクール』の舞台となって失とさり】ちゃjpきっす<ル2,アニメゲーム,中学校,小学校,大学,高校,高校
室町時代に、農民が中心となって起こした一接を何という ?,文系,水一撲,土一拉,木一反,月一撲,土一拉
漫画のタイトルで、『みどりの〇』『おさな妻の〇』『巨人の〇』の〇に共通して入る言葉は何 ?,アニメゲーム,星,海,"にーー
ジン""","ワロ
こコ",星
次のうち、マリンスポーツでないのはどれ2?,スポーツ,パラグライダー,スキューバダイビング,カヌー,サーフィン,パラグライダー
見通しの悪い曲がり角に設置される、凸面鏡のことを和製英語で何という ?,文系,バックミラー,カーブミラー,サイドミラー,マジックミラー,カーブミラー
次のアニメのタイトルのうち、〇に入る渓数字が最も大きいものはどれ?,アニメゲーム,ルパン〇世,キテレツ大〇科,めぞんて刻,〇休さん,キテレツ大〇科
人気人形劇『きかんしゃトーマス』が制作された国はどこ ?,アニメゲーム,イギリス,ブラジル,インド,メキシンコ,イギリス
「単布」とはどんな地形のこと?,文系,,峡谷,山,"*エと
/皿","*エと
/皿"
次のうち、直星の別名として正しいのは ?,理系,掃除機星,塵取り星,ルンバ星,ほうさき是,ほうさき是
主題歌の『クワイ河マーチ』も有名な、第30回アカデミー作品賞を受賞避けEIた円4,芸能,市場にかける橋,工場にかける橋,農場にかける橋,戦場にかける橋,戦場にかける橋
女性お笑いコンビのクワバタオハラのメンバーといえば、小原正子と上:壮4,芸能,ともさかりえ,たなかりえ,くわばたりえ,くぎみやりえ,くわばたりえ
ハンドボールで、3秒より長くボールを保持する反則を何という 2?,スポーツ,オーバータイム,チャージング,プッシング,オーバーステップ,オーバータイム
"初音ミク
にクルルとレニ
髪の色は?",芸能,青緑,オレンジ,ビピンク,祭,青緑
次のうち、一年で最も昼の時間が長の】たgp              「,理系,春分,抄至,冬至,秋分,抄至
次のうち、血管を大きく3種類に分けた時の種類にないものはどれ ?,理系,動脈,毛細血管,静須,極太血管,極太血管
mihimaru GcTの大ヒット曲といえば?,芸能,気分上々† 1†,気分上々} },気分上々…で,気分上々ララ,気分上々† 1†
ドイツのブンデスリーガ、イタリアのセリエAと言えば、どんなスポーツのリーグ ?,スポーツ,バドミントン,テニス,サッカー,野球,サッカー
次のうち、果物はどれ ?,雑学,ホホ,モモ,ゴゴコ,トト,モモ
ダイコンとトウガラシを一緒にすりおろしたものを「〇〇〇おろし」という。〇〇〇は何 ?,雑学,つばき,かえで,もみじ,さくぐら,もみじ
海水に溶けている物質として最も多いものは何 ?,理系,塩化ナトリウム,硫酸カルシウム,塩化マグネシウム,硫酸マグネシウム,塩化ナトリウム
スポンジなどが乾いて、水気のない様子をさす言葉はどれ?2,雑学,パチパチ,パサパサ,パカパカ,パタパタ,パサパサ
モンゴルなどの遊牧民が使う、角頭0ような形の移動式家屋を何という2?,文系,ゾル,ゲル,カル,メル,ゲル
次のうち、ミュージカル『テニスの土子様』の通称はどれ ?,芸能,テニミュ,プリミュ,テプミュ,テリミュ,テニミュ
毎年冬に開催される「スーパーボウル」といえば、どんなスポーツの王座決定戦 ?,スポーツ,サッカー,アメリカンフットボール,野球,テニス,アメリカンフットボール
"聖武天皇                 示

起      が建立     華厳宗の寺

が建立した華茂示の寺て
ノヽ   き   「ヽ奈良の大仏で有名なのはどこ 2?",文系,清水寺,東大寺,高徳院,竜安寺,東大寺
野球で、ピッチャーがバッターに対して投げる球種の組み合わせのことを何という ?,スポーツ,配球,死球,四球,直球,配球
健康に良い食品のことを英語で「^)(でのうフード」という。〇〇〇は何 ?,雑学,メルンー,アイシー,ドロシー,ヘルシー,ヘルシー
お寿司で胡瓜をネタの巻物を何と言う?2,雑学,シャリ人巻き,かっば巻き,爆弾巻き,鉄火巻き,かっば巻き
「悲しいけどこれ戦争なのよね」という有名なセリフが登場するアニメは何 ?,アニメゲーム,ドラえもん,ドラゴンボール,機動戦士ガンダム,魔法使いサリー,機動戦士ガンダム
のjpまっ<ゴルルル4 に晶三Ifあるものはどれ?,スポーツ,在均台,実験台,柚化台,お立ち台,在均台
Jリーグで、ガンバ大阪とヴィッセル紳戸の試合のことを、2チームがホームを置く地域から何という ?,スポーツ,中部ダービー,中国ダービー,関東ダービー,関西ダービー,関西ダービー
「りゅうの子ども」を助けようと奮闘する少年の姿を描いた、ルース・ガネットの童話は何 ?,文系,エスマーのほうけん,エムマーのぼうけん,エルマーのぼうけん,エヌマーのぼうけん,エルマーのぼうけん
!チンギスハーン国際空港」という空港がある国はどこ2,文系,トルコ,ロンア,インド,モンゴル,モンゴル
ゲーム機「ファミリーコンピューダ」のコントローラで、Bボタンの石にあったボタンは何ボタン 2?,アニメゲーム,Aボタン,Fボタン,Zボタン,Cボタン,Aボタン
警察官と女子高生の恋愛を描いた、に(ゴル:JEIた円肝/,アニメゲーム,極楽表春ホッケー部,近キョリ恋愛,学園王子,PとJK,PとJK
2006年公開の映画で、ヒロインの紺野真琴の声を仲里依紗が演じたのは、『何をかける少女』 ?,アニメゲーム,お湯,街,"ワロ
コロ",時,時
「アジアの歌姫」と呼ばれた歌手、テレサ・テンはどこの国出身 ?,芸能,アルジェリア,ウルグアイ,台湾,スイス,台湾
ゴルフで、追い風をフォローというのに対し、向かい風を何という ?,スポーツ,アーティスト,アゲンスト,ロマンチスト,トースト,アゲンスト
